Dragons,Categrory,Name,Summary,Parents,Form,Home,Slain By,Symbols,Sacred plants,God of ,Dragon Information
COLCHIAN DRACON,DRACONES MYTHICAL,THE COLCHIAN DRAGON,COLCHIAN DRACON (Drakon Kholkikos) An unsleeping dragon which guarded the Golden Fleece in the sacred grove of Ares at Colchis. The creature was bewitched by Medea so that the hero Jason could steal its treasure.,Typhoeus and Gaea,Giant serpent,Colchis,Jason and Medea,null,null,null,"THE DRAKON KHOLKIKOS (Colchian Dragon) was a giant, watchful serpent which guarded the Golden Fleece in the sacred grove of Ares in Kolkhis (Colchis). When Jason and the Argonauts came to fetch the fleece, the beast was either slain by the hero or put to sleep by the witch Medea. In one version of the story--preserved only in vase painting (see image right)--Jason was first devoured and disgorged by the dragon."
PITANIAN DRACON,DRACONES MYTHICAL,null,PITANIAN DRACON (Drakon Pitanios) A dragon of Pitane in Aeolia (Asia Minor) which was turned to stone by the gods.,null,null,null,null,null,null,null,"THE DRAKON PITANIOS (Pitanean Dragon) was a giant serpent turned to stone by the gods in the region of Pitane in Aiolia, Anatolia. There was no doubt some local legend about the creature which described this metamorphosis."
NEMEAN DRACON,DRACONES MYTHICAL,THE NEMEAN DRAGON,"NEMEAN DRACON (Drakon Nemeios) A giant dragon or serpent which guarded the sacred groves of Zeus at Nemea. It was destroyed by the warriors of the Seven Against Thebes after devouring the infant Opheltes, son of a local king.",Gaea,Monstrous serpent,Nemea in Argolis,Adrastus and Capaneus,null,null,null,FAMILY OF THE DRAGON
SCYLLA,DRACAENAE,THE MONSTER SCYLLA,"SCYLLA (Skylla) A she-dragon which haunted the Straits of Messina, snatching and devouring sailors from passing ships. She was a nymph with the tail of a sea-monster in place of legs.",Crataeis,"Upper body of woman, tail of fish, circle of six dog-heads",Straits of Messina,null,null,null,null,"SKYLLA (Scylla) was a sea-monster who haunted the rocks of a narrow strait opposite the whirlpool of Kharybdis (Charybdis). Ships who sailed too close to her rocks would lose six men to her ravenous, darting heads."
MEDEA'S DRACONES,DRACONES MYTHICAL,null,MEDEA'S DRACONES Two flying dragons born from the blood of the vanquished Titans. They were yoked to draw the chariot of the witch Medea.,null,null,null,null,null,null,null,"THE DRAKONES OF MEDEA were a pair of serpents which drew the flying chariot of the witch Medea. She summoned them to carry her away from Korinthos (Corinth) following the murder of King Kreon (Creon), his daughter Glauke (Glauce) and her children by Iason (Jason)."
ECHIDNA,DRACAENAE,THE DRACAENA ECHIDNA,ECHIDNA (Ekhidna) The she-dragon wife of the serpent-giantTyphoeus. Echidna spawned most of the dragons and monsters of myth.,Phorcys and Ceto,"Woman's upper body, serpent's tail",Land of the Arimaspians,Possibly Apollo,null,null,null,"EKHIDNA (Echidna) was a monstrous she-dragon (drakaina) with the head and breast of a woman and the tail of a coiling serpent. She probably represented the corruptions of the earth--rot, slime, fetid waters, illness and disease."
THESPIAN DRACON,DRACONES MYTHICAL,THE THESPIAN DRAGON,"THESPIAN DRACON (Drakon Thespiakos) A dragon which plagued the Boeotian town of Thespaie. It was slain by the hero Menestratus, who threw himself into the creatures maw wrapped in spiked armour.",null,Giant serpent,Thespiae in Boeotia,Menestratus,null,null,null,THE DRAKON THESPIAKOS (Thespian Dragon) was a monstrous serpent which ravaged the land of Thespiai (Thespiae) in Boiotia (Central Greece). It was destroyed through the sacrifice of the hero Menestratos who leapt between the jaws of the beast wearing a spiked breastplate.
SCOLOPENDRA,CETEA LEGENDARY,THE SCOLOPENDRA,"SCOLOPENDRA (Skolopendra) A gargantuan sea-monster with hair extending from its nostrils, a flat crayfish-like tail and rows of webbed feet lining each of its flanks.",null,"Ship-sized sea-monster, hairy nostrils, crayfish-like tail, webbed feet",Sea,null,null,null,null,"THE SKOLOPENDRA (Scolopendra) was gargantuan sea-monster with hairy nostrils, a flat, crayfish-like tail and webbed feet lining its flanks."
DEMETER'S DRACONES,DRACONES MYTHICAL,DEMI-GOD TRIPTOLEMUS,DEMETER'S DRACONES A pair of winged dragons which drew the chariot of goddess Demeter. She gave them to the hero Triptolemos to carry him across the world spreading knowledge of agriculture.,Celeus and Metanira,null,Eleusis,null,Winged chariot,Wheat,"Sowing, milling",TRIPTOLEMOS (Triptolemus) was a demi-god of the Eleusinian mysteries who presided over the sowing of grain-seed and the milling of wheat.
GIGANTOMACHIAN DRACON,DRACONES MYTHICAL,THE GIANT-WAR DRAGON,GIGANTOMACHIAN DRACON (Drakon Gigantomakhios) A dragon which was cast at the goddess Athena during the Giant War. She caught it up and threw it into the sky where it formed the constellation Draco.,null,Giant serpent,Pallene in Thrace,Athena,null,null,null,THE DRAKON GIGANTOMAKHIOS (Dragon of the Giant-War) was a huge serpent thrown at the goddess Athena by the giants. She caught it up and impaled it upon the pole of heaven to form the constellation Draco.
